title,author,category,student_cnt,rating,review_cnt,price_origin,price_curr,est_revenue,thumbnail,href
AI로 PPT 외주 받아 부수입 만들기,Sunny - 자동화&실전 IT!,기타,0,N/A,0,55000,27500,0,https://cdn.inflearn.com/public/files/courses/341726/cover/ai/1/3b145529-2268-4814-9ba3-c2968b5bf673.png?w=420,N/A
"나혼자 하는 코딩독학서, 코딩-레벨-업(입문-봄)",코딩고스트,기타,0,N/A,0,19800,5940,0,https://cdn.inflearn.com/public/files/courses/339021/cover/01k5eb0vq97x18as5kdc1p9sdh?w=420,N/A
[디펙업_ONE] 회사에서 쓰는 IT 시스템 한 방에 이해하기,디펙업,기타,0,5.0,2,77000,38500,0,https://cdn.inflearn.com/public/files/courses/341417/cover/ai/2/bfab075d-63e3-4b79-a37b-000e4e1d1549.png?w=420,N/A
C++로 만드는 게임 엔진 프레임워크 (소코반과 슈팅 게임으로 배우는 엔진 구조),RonnieJ,기타,0,5.0,11,163900,81950,0,https://cdn.inflearn.com/public/files/courses/341168/cover/ai/1/a47caa65-3f42-4547-ac47-6a3dcbb27c0e.png?w=420,N/A
클로드코드 | PM/PO서비스기획자를 위한 에이전트 설계,레브(Reve),기타,0,N/A,0,93500,65450,0,https://cdn.inflearn.com/public/files/courses/341735/cover/ai/2/46057702-c731-40e0-9621-0ca4f05dea9b.png?w=420,N/A
안정적인 AI 에이전트 서비스 운영을 위한 평가(Evaluation) 방법,제이쓴,기타,0,N/A,0,69300,48510,0,https://cdn.inflearn.com/public/files/courses/340324/cover/01kmv3grqht3v8c5rw0v01hat1?w=420,N/A
AI 입문을 위한 LLM 아키텍처 이해와 GPU 활용전략,김현진,기타,100,5.0,2,143000,143000,14300000,https://cdn.inflearn.com/public/files/courses/341618/cover/01kmvxztzk14g9x95gr1ce5181?w=420,N/A
Python으로 엑셀 업무 자동화 완전정복,칼퇴자동화연구소,기타,0,N/A,0,75900,45540,0,https://cdn.inflearn.com/public/files/courses/341778/cover/ai/0/6541e6c8-11a8-4ed5-a6cf-0d33eb319662.png?w=420,N/A
비개발자를 위한 클로드코드앱 & 깃헙 실전 정복기,셀피쉬클럽,기타,0,N/A,0,99000,29700,0,https://cdn.inflearn.com/public/files/courses/341764/cover/01kntvtqpjqvqhepd9bw0zgqaw?w=420,N/A
대한민국 정부 디자인 시스템으로 시작하는 UX/UI 디자인 (KRDS),Neo,기타,0,5.0,3,165000,55000,0,https://cdn.inflearn.com/public/files/courses/340504/cover/01knxs9zwfw44depd8xz5y2ecm?w=420,N/A
"[구글 올인원 AI] 아날로그 업무 현장, 'AI 자동화'로 시스템 구축하기",컨100,기타,0,N/A,0,110000,77000,0,https://cdn.inflearn.com/public/files/courses/341706/cover/01kne729szsn3maef05r48zpsv?w=420,N/A
